"Date","Symbol","ShortVolume","ShortExemptVolume","TotalVolume","Market"
2020-02-03,"GME",370461,805,606596,"B,Q,N"
2020-02-04,"GME",822744,7075,1201663,"B,Q,N"
2020-02-05,"GME",484305,1105,737279,"B,Q,N"
2020-02-06,"GME",325395,4000,519764,"B,Q,N"
2020-02-07,"GME",866182,3785,1057876,"B,Q,N"
2020-02-10,"GME",723361,2410,1044173,"B,Q,N"
2020-02-11,"GME",374183,4082,702167,"B,Q,N"
2020-02-12,"GME",766348,17000,1786383,"B,Q,N"
2020-02-13,"GME",282345,8869,704248,"B,Q,N"
2020-02-14,"GME",236284,1520,627900,"B,Q,N"
2020-02-18,"GME",166220,2263,407894,"B,Q,N"
2020-02-19,"GME",394727,3863,913948,"B,Q,N"
2020-02-20,"GME",192791,2200,500064,"B,Q,N"
2020-02-21,"GME",193677,0,551943,"B,Q,N"
2020-02-24,"GME",485763,24085,1296295,"B,Q,N"
2020-02-25,"GME",428501,23602,1313344,"B,Q,N"
2020-02-26,"GME",660091,4300,1724067,"B,Q,N"
2020-02-27,"GME",518447,5272,1395704,"B,Q,N"
2020-02-28,"GME",319085,824,1080204,"B,Q,N"
2020-03-02,"GME",664220,1876,1449370,"B,Q,N"
2020-03-03,"GME",677301,4001,1564953,"B,Q,N"
2020-03-04,"GME",1376783,1000,1968500,"B,Q,N"
2020-03-05,"GME",996970,2154,1686787,"B,Q,N"
2020-03-06,"GME",325379,2830,694654,"B,Q,N"
2020-03-09,"GME",463540,40868,1116302,"B,Q,N"
2020-03-10,"GME",1647899,31215,2468002,"B,Q,N"
2020-03-11,"GME",1386241,2501,1881395,"B,Q,N"
2020-03-12,"GME",1445057,40123,2203629,"B,Q,N"
2020-03-13,"GME",1147633,81918,2102139,"B,Q,N"
2020-03-16,"GME",443676,54177,1228890,"B,Q,N"
2020-03-17,"GME",173143,21540,1177729,"B,Q,N"
2020-03-18,"GME",277067,15909,1192774,"B,Q,N"
2020-03-19,"GME",1503887,27222,2286803,"B,Q,N"
2020-03-20,"GME",1966636,42717,2708826,"B,Q,N"
2020-03-23,"GME",1856664,52095,3280503,"B,Q,N"
2020-03-24,"GME",1818578,17744,3458545,"B,Q,N"
2020-03-25,"GME",608247,13639,1300139,"B,Q,N"
2020-03-26,"GME",1124586,35548,2179412,"B,Q,N"
2020-03-27,"GME",1588280,17689,2600204,"B,Q,N"
2020-03-30,"GME",949195,63952,1442782,"B,Q,N"
2020-03-31,"GME",484419,28837,814094,"B,Q,N"
2020-04-01,"GME",932728,61149,1323443,"B,Q,N"
2020-04-02,"GME",1489193,64331,2046723,"B,Q,N"
2020-04-03,"GME",1166292,63549,1798916,"B,Q,N"
2020-04-06,"GME",691086,27762,1267049,"B,Q,N"
2020-04-07,"GME",577654,14333,957541,"B,Q,N"
2020-04-08,"GME",494706,12039,896863,"B,Q,N"
2020-04-09,"GME",1356436,19828,2125178,"B,Q,N"
2020-04-13,"GME",2053195,14221,3070751,"B,Q,N"
2020-04-14,"GME",4603968,65096,7502513,"B,Q,N"
2020-04-15,"GME",2437654,84527,3616977,"B,Q,N"
2020-04-16,"GME",933795,47472,1590015,"B,Q,N"
2020-04-17,"GME",1231525,15239,2420243,"B,Q,N"
2020-04-20,"GME",1002712,45649,2980326,"B,Q,N"
2020-04-21,"GME",699188,19828,1742107,"B,Q,N"
2020-04-22,"GME",529449,31721,1353702,"B,Q,N"
2020-04-23,"GME",541226,8285,1212212,"B,Q,N"
2020-04-24,"GME",533973,900,1233742,"B,Q,N"
2020-04-27,"GME",2110174,75653,3715308,"B,Q,N"
2020-04-28,"GME",1297852,130424,2391722,"B,Q,N"
2020-04-29,"GME",596800,104202,1230410,"B,Q,N"
2020-04-30,"GME",256521,6125,693669,"B,Q,N"
2020-05-01,"GME",702955,15738,1807793,"B,Q,N"
2020-05-04,"GME",548278,28657,1479476,"B,Q,N"
2020-05-05,"GME",258516,12657,971312,"B,Q,N"
2020-05-06,"GME",632071,2991,1474975,"B,Q,N"
2020-05-07,"GME",286099,27398,896559,"B,Q,N"
2020-05-08,"GME",300819,9636,752039,"B,Q,N"
2020-05-11,"GME",223962,5957,708136,"B,Q,N"
2020-05-12,"GME",536549,4044,1195240,"B,Q,N"
2020-05-13,"GME",428758,18221,1088497,"B,Q,N"
2020-05-14,"GME",501659,32878,840519,"B,Q,N"
2020-05-15,"GME",445490,8250,711732,"B,Q,N"
2020-05-18,"GME",546376,3856,1058087,"B,Q,N"
2020-05-19,"GME",437282,8105,782025,"B,Q,N"
2020-05-20,"GME",559370,11622,765652,"B,Q,N"
2020-05-21,"GME",352634,24123,1016841,"B,Q,N"
2020-05-22,"GME",688609,14001,990057,"B,Q,N"
2020-05-26,"GME",520096,12889,1049293,"B,Q,N"
2020-05-27,"GME",463683,12115,994296,"B,Q,N"
2020-05-28,"GME",560747,4154,922446,"B,Q,N"
2020-05-29,"GME",808439,4830,1210004,"B,Q,N"
2020-06-01,"GME",446084,16924,1057528,"B,Q,N"
2020-06-02,"GME",479707,14820,959565,"B,Q,N"
2020-06-03,"GME",579055,17513,1549738,"B,Q,N"
2020-06-04,"GME",836585,34978,1542065,"B,Q,N"
2020-06-05,"GME",1241420,53192,2867263,"B,Q,N"
2020-06-08,"GME",1683770,62568,4352441,"B,Q,N"
2020-06-09,"GME",2117461,56107,3792277,"B,Q,N"
2020-06-10,"GME",2054337,69911,5114323,"B,Q,N"
2020-06-11,"GME",1323063,44915,2783028,"B,Q,N"
2020-06-12,"GME",468457,38894,1527673,"B,Q,N"
2020-06-15,"GME",573044,24952,1759861,"B,Q,N"
2020-06-16,"GME",597635,7459,1040262,"B,Q,N"
2020-06-17,"GME",576891,2836,1602612,"B,Q,N"
2020-06-18,"GME",374951,4212,1327538,"B,Q,N"
2020-06-19,"GME",887772,1447,1492060,"B,Q,N"
2020-06-22,"GME",356174,21626,926384,"B,Q,N"
2020-06-23,"GME",320600,5478,866121,"B,Q,N"
2020-06-24,"GME",635641,14160,1059923,"B,Q,N"
2020-06-25,"GME",416214,2525,1017541,"B,Q,N"
2020-06-26,"GME",496962,15096,984508,"B,Q,N"
2020-06-29,"GME",367338,3335,802332,"B,Q,N"
2020-06-30,"GME",825243,2948,1313425,"B,Q,N"
2020-07-01,"GME",470094,1346,731845,"B,Q,N"
2020-07-02,"GME",381500,8899,655888,"B,Q,N"
2020-07-06,"GME",446170,10710,818235,"B,Q,N"
2020-07-07,"GME",477360,3515,893765,"B,Q,N"
2020-07-08,"GME",346108,5496,693219,"B,Q,N"
2020-07-09,"GME",263631,1880,845804,"B,Q,N"
2020-07-10,"GME",148220,300,424074,"B,Q,N"
2020-07-13,"GME",1567052,2546,2296946,"B,Q,N"
2020-07-14,"GME",271364,100,850134,"B,Q,N"
2020-07-15,"GME",126729,1247,448959,"B,Q,N"
2020-07-16,"GME",265537,200,453232,"B,Q,N"
2020-07-17,"GME",964890,28730,1392436,"B,Q,N"
2020-07-20,"GME",505874,2517,1353938,"B,Q,N"
2020-07-21,"GME",443967,16143,1078400,"B,Q,N"
2020-07-22,"GME",501170,6330,998172,"Q,N"
2020-07-23,"GME",696772,81,1418440,"B,Q,N"
2020-07-24,"GME",282448,3506,835825,"B,Q,N"
2020-07-27,"GME",484218,2574,1007867,"B,Q,N"
2020-07-28,"GME",2775632,3866,3238556,"B,Q,N"
2020-07-29,"GME",445040,14367,1058436,"B,Q,N"
2020-07-30,"GME",349815,1411,962000,"B,Q,N"
2020-07-31,"GME",216210,2606,612456,"B,Q,N"
2020-08-03,"GME",423410,2873,948988,"B,Q,N"
2020-08-04,"GME",1513223,34034,4767028,"B,Q,N"
2020-08-05,"GME",693737,27815,1888016,"B,Q,N"
2020-08-06,"GME",249976,9270,791983,"B,Q,N"
2020-08-07,"GME",657021,31882,1431120,"B,Q,N"
2020-08-10,"GME",513927,5630,1435034,"B,Q,N"
2020-08-11,"GME",484722,14869,1389870,"B,Q,N"
2020-08-12,"GME",351509,11327,1032231,"B,Q,N"
2020-08-13,"GME",383765,1131,802605,"B,Q,N"
2020-08-14,"GME",531830,9143,1339864,"B,Q,N"
2020-08-17,"GME",356322,4000,864749,"B,Q,N"
2020-08-18,"GME",444455,11927,1222287,"B,Q,N"
2020-08-19,"GME",325143,200,684695,"B,Q,N"
2020-08-20,"GME",267631,9907,731914,"B,Q,N"
2020-08-21,"GME",2127734,24598,5718895,"B,Q,N"
2020-08-24,"GME",534793,22625,1823439,"B,Q,N"
2020-08-25,"GME",532516,11667,1341456,"B,Q,N"
2020-08-26,"GME",513047,1087,1136003,"B,Q,N"
2020-08-27,"GME",408650,2692,1113192,"B,Q,N"
2020-08-28,"GME",500175,16590,1492242,"B,Q,N"
2020-08-31,"GME",6207501,125898,21650765,"B,Q,N"
2020-09-01,"GME",2572703,42583,12739715,"B,Q,N"
2020-09-02,"GME",2302048,71750,6622883,"B,Q,N"
2020-09-03,"GME",2510246,37037,6705277,"B,Q,N"
2020-09-04,"GME",1161710,33190,3637860,"B,Q,N"
2020-09-08,"GME",1794782,21854,4819424,"B,Q,N"
2020-09-09,"GME",1178564,31756,3318326,"B,Q,N"
2020-09-10,"GME",2647287,137060,7061262,"B,Q,N"
2020-09-11,"GME",799161,33669,2920657,"B,Q,N"
2020-09-14,"GME",2648108,16028,4325247,"B,Q,N"
2020-09-15,"GME",1653849,44494,2858889,"B,Q,N"
2020-09-16,"GME",5614755,85732,10058212,"B,Q,N"
2020-09-17,"GME",5104399,53123,9127070,"B,Q,N"
2020-09-18,"GME",3530464,46486,6308725,"B,Q,N"
2020-09-21,"GME",1605910,53411,3116587,"B,Q,N"
2020-09-22,"GME",9857592,308118,18376647,"B,Q,N"
2020-09-23,"GME",2518880,58068,4596752,"B,Q,N"
2020-09-24,"GME",1304039,60259,3786571,"B,Q,N"
2020-09-25,"GME",1980900,94718,4417059,"B,Q,N"
2020-09-28,"GME",1905506,33008,3563025,"B,Q,N"
2020-09-29,"GME",1449977,20344,2700548,"B,Q,N"
2020-09-30,"GME",1508874,35437,3021545,"B,Q,N"
2020-10-01,"GME",1043391,12534,2043037,"B,Q,N"
2020-10-02,"GME",792632,12498,1801888,"B,Q,N"
2020-10-05,"GME",758083,8517,1394231,"B,Q,N"
2020-10-06,"GME",1259172,25305,2206551,"B,Q,N"
2020-10-07,"GME",940815,25625,1605517,"B,Q,N"
2020-10-08,"GME",22263136,373719,39203674,"B,Q,N"
2020-10-09,"GME",21610063,950128,43281352,"B,Q,N"
2020-10-12,"GME",7982844,245136,14469698,"B,Q,N"
2020-10-13,"GME",2435954,6502,4445148,"B,Q,N"
2020-10-14,"GME",3569965,27753,6352412,"B,Q,N"
2020-10-15,"GME",11778490,173928,21473040,"B,Q,N"
2020-10-16,"GME",1884282,21760,5471504,"B,Q,N"
2020-10-19,"GME",4263227,101720,7940713,"B,Q,N"
2020-10-20,"GME",1746921,28937,3099352,"B,Q,N"
2020-10-21,"GME",1386777,47396,2959309,"B,Q,N"
2020-10-22,"GME",4593968,81339,8739577,"B,Q,N"
2020-10-23,"GME",1541865,28084,3083089,"B,Q,N"
2020-10-26,"GME",2865249,87678,7037427,"B,Q,N"
2020-10-27,"GME",1529939,97334,3564815,"B,Q,N"
2020-10-28,"GME",1007478,13206,3121082,"B,Q,N"
2020-10-29,"GME",1053715,21728,2205696,"B,Q,N"
2020-10-30,"GME",3096430,27722,5466221,"B,Q,N"
2020-11-02,"GME",1257584,32825,2346422,"B,Q,N"
2020-11-03,"GME",2039141,25656,3645023,"B,Q,N"
2020-11-04,"GME",1466637,23570,2560764,"B,Q,N"
2020-11-05,"GME",1317418,7905,2386612,"B,Q,N"
2020-11-06,"GME",1768117,17872,2877525,"B,Q,N"
2020-11-09,"GME",1596632,19585,2506756,"B,Q,N"
2020-11-10,"GME",670544,17193,1387089,"B,Q,N"
2020-11-11,"GME",1689319,13103,2400829,"B,Q,N"
2020-11-12,"GME",1080489,7139,1826149,"B,Q,N"
2020-11-13,"GME",714792,7980,1325565,"B,Q,N"
2020-11-16,"GME",2448698,67392,5022191,"B,Q,N"
2020-11-17,"GME",718320,1393,3146368,"B,Q,N"
2020-11-18,"GME",556182,3864,1389921,"B,Q,N"
2020-11-19,"GME",3854636,24038,6231785,"B,Q,N"
2020-11-20,"GME",2559797,16243,4458054,"B,Q,N"
2020-11-23,"GME",2463652,15717,4573314,"B,Q,N"
2020-11-24,"GME",1557562,15647,3402959,"B,Q,N"
2020-11-25,"GME",1665619,18619,4172185,"B,Q,N"
2020-11-27,"GME",2436483,20413,6666883,"B,Q,N"
2020-11-30,"GME",5746247,70374,15993988,"B,Q,N"
2020-12-01,"GME",1947773,17675,5691714,"B,Q,N"
2020-12-02,"GME",1139830,10505,3615364,"B,Q,N"
2020-12-03,"GME",1357653,20552,3293868,"B,Q,N"
2020-12-04,"GME",1372531,21103,4309129,"B,Q,N"
2020-12-07,"GME",1237366,9926,3363420,"B,Q,N"
2020-12-08,"GME",1453349,30619,5187397,"B,Q,N"
2020-12-09,"GME",3847993,154852,12339165,"B,Q,N"
2020-12-10,"GME",908904,67913,3414443,"B,Q,N"
2020-12-11,"GME",1128205,25766,3460240,"B,Q,N"
2020-12-14,"GME",1410641,52314,4481115,"B,Q,N"
2020-12-15,"GME",1501587,13530,3957682,"B,Q,N"
2020-12-16,"GME",1215029,3735,2490062,"B,Q,N"
2020-12-17,"GME",1711461,16899,3430803,"B,Q,N"
2020-12-18,"GME",4545937,41025,7383984,"B,Q,N"
2020-12-21,"GME",2800228,23648,4140155,"B,Q,N"
2020-12-22,"GME",8354158,59425,16251158,"B,Q,N"
2020-12-23,"GME",8532524,54374,15240256,"B,Q,N"
2020-12-24,"GME",1939277,11054,3585707,"B,Q,N"
2020-12-28,"GME",2962823,37400,4891475,"B,Q,N"
2020-12-29,"GME",2178368,80280,4876217,"B,Q,N"
2020-12-30,"GME",1134552,71826,2531119,"B,Q,N"
2020-12-31,"GME",906539,13239,2490445,"B,Q,N"
2021-01-04,"GME",2857152,19198,4956196,"B,Q,N"
2021-01-05,"GME",766709,21223,2324822,"B,Q,N"
2021-01-06,"GME",865047,15085,2949443,"B,Q,N"
2021-01-07,"GME",1214959,17787,3296877,"B,Q,N"
2021-01-08,"GME",1529124,4537,3515180,"B,Q,N"
2021-01-11,"GME",4229928,20105,7472327,"B,Q,N"
2021-01-12,"GME",1600574,27607,2937394,"B,Q,N"
2021-01-13,"GME",46075278,594291,86578862,"B,Q,N"
2021-01-14,"GME",16957718,158390,53617069,"B,Q,N"
2021-01-15,"GME",8433389,240780,26143320,"B,Q,N"
2021-01-19,"GME",14785915,541011,44827328,"B,Q,N"
2021-01-20,"GME",6764533,48173,19581227,"B,Q,N"
2021-01-21,"GME",11420490,108322,35202394,"B,Q,N"
2021-01-22,"GME",33257918,686860,97123046,"B,Q,N"
2021-01-25,"GME",27342770,393941,72224899,"B,Q,N"
2021-01-26,"GME",27348512,514375,82653297,"B,Q,N"
2021-01-27,"GME",15692871,161898,28687984,"B,Q,N"
2021-01-28,"GME",9606123,455032,18899860,"B,Q,N"
2021-01-29,"GME",8814229,527920,16327706,"B,Q,N"
2021-02-01,"GME",6982444,364890,12820226,"B,Q,N"
2021-02-02,"GME",16358136,1073011,29733410,"B,Q,N"
